Bank Name,City,State,CERT #,Acquiring Institution,Closing Date,Updated Date
Lakeside Community Bank,Sterling Heights,MI,34878,No Acquirer,16-Apr-10,27-Aug-10
Beach First National Bank,Myrtle Beach,SC,34242,Bank of North Carolina,9-Apr-10,27-Aug-10
Desert Hills Bank,Phoenix,AZ,57060,New York Community Bank,26-Mar-10,27-Aug-10
Unity National Bank,Cartersville,GA,34678,Bank of the Ozarks,26-Mar-10,27-Aug-10
Key West Bank,Key West,FL,34684,Centennial Bank,26-Mar-10,3-Nov-10
McIntosh Commercial Bank,Carrollton,GA,57399,CharterBank,26-Mar-10,27-Aug-10
State Bank of Aurora,Aurora,MN,8221,Northern State Bank,19-Mar-10,27-Aug-10
First Lowndes Bank,Fort Deposit,AL,24957,First Citizens Bank,19-Mar-10,3-Nov-10
Bank of Hiawassee,Hiawassee,GA,10054,Citizens South Bank,19-Mar-10,27-Aug-10
Appalachian Community Bank,Ellijay,GA,33989,Community & Southern Bank,19-Mar-10,27-Aug-10
Advanta Bank Corp.,Draper,UT,33535,No Acquirer,19-Mar-10,16-Sep-10
Century Security Bank,Duluth,GA,58104,Bank of Upson,19-Mar-10,27-Aug-10
American National Bank,Parma,OH,18806,The National Bank and Trust Company,19-Mar-10,4-Nov-10
Statewide Bank,Covington,LA,29561,Home Bank,12-Mar-10,27-Aug-10
Old Southern Bank,Orlando,FL,58182,Centennial Bank,12-Mar-10,27-Aug-10
The Park Avenue Bank,New York,NY,27096,Valley National Bank,12-Mar-10,27-Aug-10
LibertyPointe Bank,New York,NY,58071,Valley National Bank,11-Mar-10,27-Aug-10
Centennial Bank,Ogden,UT,34430,No Acquirer,5-Mar-10,27-Aug-10
Waterfield Bank,Germantown,MD,34976,No Acquirer,5-Mar-10,27-Aug-10
Bank of Illinois,Normal,IL,9268,Heartland Bank and Trust Company,5-Mar-10,27-Aug-10
Sun American Bank,Boca Raton,FL,27126,First-Citizens Bank & Trust Company,5-Mar-10,27-Aug-10
Rainier Pacific Bank,Tacoma,WA,38129,Umpqua Bank,26-Feb-10,27-Aug-10
Carson River Community Bank,Carson City,NV,58352,Heritage Bank of Nevada,26-Feb-10,27-Aug-10
"La Jolla Bank, FSB",La Jolla,CA,32423,"OneWest Bank, FSB",19-Feb-10,27-Aug-10
George Washington Savings Bank,Orland Park,IL,29952,"FirstMerit Bank, N.A.",19-Feb-10,27-Aug-10
The La Coste National Bank,La Coste,TX,3287,Community National Bank,19-Feb-10,3-Nov-10
Marco Community Bank,Marco Island,FL,57586,Mutual of Omaha Bank,19-Feb-10,27-Aug-10
1st American State Bank of Minnesota,Hancock,MN,15448,"Community Development Bank, FSB",5-Feb-10,8-Nov-10
American Marine Bank,Bainbridge Island,WA,16730,Columbia State Bank,29-Jan-10,26-Aug-10
First Regional Bank,Los Angeles,CA,23011,First-Citizens Bank & Trust Company,29-Jan-10,26-Aug-10
Community Bank and Trust,Cornelia,GA,5702,SCBT National Association,29-Jan-10,26-Aug-10
"Marshall Bank, N.A.",Hallock,MN,16133,United Valley Bank,29-Jan-10,26-Aug-10
Florida Community Bank,Immokalee,FL,5672,"Premier American Bank, N.A.",29-Jan-10,26-Aug-10
First National Bank of Georgia,Carrollton,GA,16480,Community and Southern Bank,29-Jan-10,3-Nov-10
Columbia River Bank,The Dalles,OR,22469,Columbia State Bank,22-Jan-10,2-Nov-10
Evergreen Bank,Seattle,WA,20501,Umpqua Bank,22-Jan-10,26-Aug-10
Charter Bank,Santa Fe,NM,32498,Charter Bank,22-Jan-10,26-Aug-10
Bank of Leeton,Leeton,MO,8265,"Sunflower Bank, N.A.",22-Jan-10,26-Aug-10
Premier American Bank,Miami,FL,57147,"Premier American Bank, N.A.",22-Jan-10,26-Aug-10
Barnes Banking Company,Kaysville,UT,1252,No Acquirer,15-Jan-10,26-Aug-10
